LSB	PRG	MSB	NME	ELC	LVL	VXP
004	054	001	Syn Vox		4	gs4:Syn Vox
004	054	002	SynVox 2		4	gs4:SynVox 2
002	054	008	SyVoice2		2	gs2:SyVoice2
003	054	009	SlntNght		3	gs3:SlntNght
004	054	010	SyVoice3		4	gs4:SyVoice3
003	054	016	VP330		3	gs3:VP330
003	054	017	VnlChoir		3	gs3:VnlChoir
004	054	018	JX8P Vox		4	gs4:JX8P Vox
004	054	019	AnalgVox		4	gs4:AnalgVox
000	055	049	Orch.Hit	1	1	gs1:Orch.Hit
002	055	049	Orch.Hit	1	2	gs2:Orch.Hit
004	055	001	Bass Hit		4	gs4:Bass Hit
004	055	002	6th Hit		4	gs4:6th Hit
004	055	003	Euro Hit		4	gs4:Euro Hit
002	055	008	ImpactHt		2	gs2:ImpactHt
002	055	009	PhillyHt		2	gs2:PhillyHt
002	055	010	DoublHit		2	gs2:DoublHit
003	055	011	Perc.Hit		3	gs3:Perc.Hit
003	055	012	ShockWav		3	gs3:ShockWav
004	055	013	BounceHt		4	gs4:BounceHt
004	055	014	DrillHit		4	gs4:DrillHit
004	055	015	ThrillHt		4	gs4:ThrillHt
002	055	016	LoFiRave		2	gs2:LoFiRave
003	055	017	TechnoHt		3	gs3:TechnoHt
003	055	018	Dist.Hit		3	gs3:Dist.Hit
003	055	019	Bam Hit		3	gs3:Bam Hit
003	055	020	Bit Hit		3	gs3:Bit Hit
003	055	021	Bim Hit		3	gs3:Bim Hit
003	055	022	Tkng Hit		3	gs3:Tkng Hit
003	055	023	Rave Hit		3	gs3:Rave Hit
003	055	024	Str. Hit		3	gs3:Str. Hit
003	055	025	StackHit		3	gs3:StackHit
004	055	026	Indus.Ht		4	gs4:Indus.Ht
004	055	027	Clap Hit		4	gs4:Clap Hit
000	056	049	Trumpet	0	1	gs1:Trumpet
002	056	049	Trumpet	0	2	gs2:Trumpet
003	056	049	Trumpet	0	3	gs3:Trumpet
004	056	049	Trumpet	0	4	gs4:Trumpet
002	056	001	Trumpet2		2	gs2:Trumpet2
003	056	002	Trumpet3		3	gs3:Trumpet3
004	056	003	Dark Trp		4	gs4:Dark Trp
004	056	004	Trp&Noiz		4	gs4:Trp&Noiz
002	056	008	FlugelHr		2	gs2:FlugelHr
003	056	016	4th Trp		3	gs3:4th Trp
002	056	024	BriteTrp		2	gs2:BriteTrp
002	056	025	Warm Trp		2	gs2:Warm Trp
004	056	026	WarmTrp2		4	gs4:WarmTrp2
004	056	027	Twin Trp		4	gs4:Twin Trp
003	056	032	Syn Trp		3	gs3:Syn Trp
000	057	049	Trombone	0	1	gs1:Trombone
002	057	049	Trombone	0	2	gs2:Trombone
003	057	049	Trombone	0	3	gs3:Trombone
004	057	049	Trombone	0	4	gs4:Trombone
000	057	001	Trombon2		1	gs1:Trombon2
003	057	002	Twinbone		3	gs3:Twinbone
004	057	003	Trom&Tba		4	gs4:Trom&Tba
004	057	004	BrtTromb		4	gs4:BrtTromb
003	057	008	BassTrom		3	gs3:BassTrom
004	057	016	Eufonium		4	gs4:Eufonium
000	058	049	Tuba	0	1	gs1:Tuba
002	058	049	Tuba	0	2	gs2:Tuba
002	058	001	Tuba 2		2	gs2:Tuba 2
004	058	004	Tuba+Hrn		4	gs4:Tuba+Hrn
000	059	049	MutedTrp	0	1	gs1:MutedTrp
002	059	049	MutedTrp	0	2	gs2:MutedTrp
004	059	001	CMuteTrp		4	gs4:CMuteTrp
004	059	002	MuteTrp2		4	gs4:MuteTrp2
004	059	003	MuteTrp3		4	gs4:MuteTrp3
003	059	008	MutedHrn		3	gs3:MutedHrn
000	060	049	FrchHorn	1	1	gs1:FrchHorn
002	060	049	FrchHorn	0	2	gs2:FrchHorn
000	060	001	FrHorn 2		1	gs1:FrHorn 2
003	060	002	Hrn+Orch		3	gs3:Hrn+Orch
003	060	003	WideFrHr		3	gs3:WideFrHr
002	060	008	FrHrSolo		2	gs2:FrHrSolo
003	060	008	SlwFrHrn		3	gs3:SlwFrHrn
003	060	009	DualFrHr		3	gs3:DualFrHr
002	060	016	HornOrch		2	gs2:HornOrch
003	060	016	Syn.Horn		3	gs3:Syn.Horn
003	060	024	RipFrHrn		3	gs3:RipFrHrn
000	061	049	BrasSect	0	1	gs1:BrasSect
003	061	049	BrasSect	1	3	gs3:BrasSect
003	061	001	Brass ff		3	gs3:Brass ff
003	061	002	BoneSect		3	gs3:BoneSect
004	061	003	StBrs ff		4	gs4:StBrs ff
004	061	004	QuadBras		4	gs4:QuadBras
004	061	005	QuadBrs2		4	gs4:QuadBrs2
000	061	008	BrsSect2		1	gs1:BrsSect2
003	061	009	BrsSect3		3	gs3:BrsSect3
003	061	010	SforzBrs		3	gs3:SforzBrs
004	061	012	SfzBras2		4	gs4:SfzBras2
004	061	014	PopBrass		4	gs4:PopBrass
002	061	016	BrasFall		2	gs2:BrasFall
003	061	017	Trp Fall		3	gs3:Trp Fall
003	061	024	OctBrass		3	gs3:OctBrass
003	061	025	Brs+Reed		3	gs3:Brs+Reed
004	061	026	Fat+Reed		4	gs4:Fat+Reed
004	061	032	OrchBras		4	gs4:OrchBras
004	061	033	OrchBrs2		4	gs4:OrchBrs2
004	061	035	StPopBrs		4	gs4:StPopBrs
004	061	036	StOrchBr		4	gs4:StOrchBr
004	061	037	StOrBrs2		4	gs4:StOrBrs2
004	061	038	StOrBrs3		4	gs4:StOrBrs3
000	062	049	SynBras1	1	1	gs1:SynBras1
002	062	049	SynBras1	1	2	gs2:SynBras1
003	062	049	SynBras1	1	3	gs3:SynBras1
002	062	001	PolyBras		2	gs2:PolyBras
003	062	001	JUNO Brs		3	gs3:JUNO Brs
003	062	002	StackBrs		3	gs3:StackBrs
003	062	003	SH-5 Brs		3	gs3:SH-5 Brs
003	062	004	MKS Bras		3	gs3:MKS Bras
004	062	005	JumpBras		4	gs4:JumpBras
000	062	008	SynBras3		1	gs1:SynBras3
003	062	008	ProBrass		3	gs3:ProBrass
002	062	009	QuackBrs		2	gs2:QuackBrs
003	062	009	P5 Brass		3	gs3:P5 Brass
004	062	010	OrchSyBr		4	gs4:OrchSyBr
000	062	016	AnalgBrs		1	gs1:AnalgBrs
002	062	016	Octa.Brs		2	gs2:Octa.Brs
003	062	016	OctSynBr		3	gs3:OctSynBr
003	062	017	HybridBr		3	gs3:HybridBr
004	062	018	OctSyBr2		4	gs4:OctSyBr2
004	062	019	BPF Bras		4	gs4:BPF Bras
000	063	049	SynBras2	1	1	gs1:SynBras2
003	063	049	SynBras2	1	3	gs3:SynBras2
002	063	001	SoftBras		2	gs2:SoftBras
003	063	002	WarmBras		3	gs3:WarmBras
004	063	003	SynBras3		4	gs4:SynBras3
004	063	004	SyncBras		4	gs4:SyncBras
004	063	005	FatSncBr		4	gs4:FatSncBr
004	063	006	DeepSyBr		4	gs4:DeepSyBr
000	063	008	SynBras4		1	gs1:SynBras4
003	063	008	SynSfzBr		3	gs3:SynSfzBr
003	063	009	OB Brass		3	gs3:OB Brass
003	063	010	RezBrass		3	gs3:RezBrass
004	063	011	DstSqrBr		4	gs4:DstSqrBr
004	063	012	JP8kSwBr		4	gs4:JP8kSwBr
000	063	016	Ana.Brs2		1	gs1:Ana.Brs2
002	063	016	VeloBras		2	gs2:VeloBras
002	063	017	VeloBrs2		2	gs2:VeloBrs2
003	063	017	TransBrs		3	gs3:TransBrs
000	064	049	SprnoSax	0	1	gs1:SprnoSax
002	064	049	SprnoSax	0	2	gs2:SprnoSax
003	064	049	SprnoSax	0	3	gs3:SprnoSax
003	064	008	ExpSprno		1	gs3:ExpSprno
000	065	049	Alto Sax	0	1	gs1:Alto Sax
002	065	049	Alto Sax	0	2	gs2:Alto Sax
003	065	049	Alto Sax	0	3	gs3:Alto Sax
002	065	008	HyprAlto		2	gs2:HyprAlto
003	065	008	Exp.Alto		3	gs3:Exp.Alto
003	065	009	Grow Sax		3	gs3:Grow Sax
003	065	016	Alto+Trp		3	gs3:Alto+Trp
004	065	017	Sax Sect		4	gs4:Sax Sect
000	066	049	TenorSax	0	1	gs1:TenorSax
002	066	049	TenorSax	1	2	gs2:TenorSax
003	066	049	TenorSax	1	3	gs3:TenorSax
003	066	001	TenrSax2		3	gs3:TenrSax2
002	066	008	BrthTnSx		2	gs2:BrthTnSx
003	066	009	St.TnrSx		3	gs3:St.TnrSx
000	067	049	Bari.Sax	0	1	gs1:Bari.Sax
002	067	049	Bari.Sax	0	2	gs2:Bari.Sax
003	067	049	Bari.Sax	1	3	gs3:Bari.Sax
003	067	001	BariSax2		3	gs3:BariSax2
004	067	008	Bari&Tnr		4	gs4:Bari&Tnr
000	068	049	Oboe	0	1	gs1:Oboe
002	068	049	Oboe	0	2	gs2:Oboe
003	068	049	Oboe	0	3	gs3:Oboe
004	068	049	Oboe	0	4	gs4:Oboe
003	068	008	Exp.Oboe		3	gs3:Exp.Oboe
003	068	016	Mul.Reed		3	gs3:Mul.Reed
000	069	049	Eng.Horn	0	1	gs1:Eng.Horn
002	069	049	Eng.Horn	0	2	gs2:Eng.Horn
000	070	049	Bassoon	0	1	gs1:Bassoon
002	070	049	Bassoon	0	2	gs2:Bassoon
000	071	049	Clarinet	0	1	gs1:Clarinet
002	071	049	Clarinet	0	2	gs2:Clarinet
002	071	008	BsClari.		2	gs2:BsClari.
003	071	016	MultiWnd		3	gs3:MultiWnd
004	071	017	QuadWind		4	gs4:QuadWind
000	072	049	Piccolo	0	1	gs1:Piccolo
002	072	049	Piccolo	0	2	gs2:Piccolo
003	072	001	Piccolo2		3	gs3:Piccolo2
003	072	008	Nay		3	gs3:Nay
003	072	009	NayTrem.		3	gs3:NayTrem.
003	072	016	Di Zi		3	gs3:Di Zi
000	073	049	Flute	0	1	gs1:Flute
002	073	049	Flute	0	2	gs2:Flute
003	073	001	Flute 2		3	gs3:Flute 2
003	073	002	ExpFlute		3	gs3:ExpFlute
003	073	003	TrvFlute		3	gs3:TrvFlute
003	073	008	FluteVln		3	gs3:FluteVln
004	073	009	PipeReed		4	gs4:PipeReed
003	073	016	TrnFlute		3	gs3:TrnFlute
004	073	017	IndiaFlu		4	gs4:IndiaFlu
000	074	049	Recorder	0	1	gs1:Recorder
000	075	049	PanFlute	0	1	gs1:PanFlute
002	075	049	PanFlute	1	2	gs2:PanFlute
002	075	008	Kawala		2	gs2:Kawala
003	075	016	Zampona		3	gs3:Zampona
003	075	017	ZmpnaAtk		3	gs3:ZmpnaAtk
004	075	024	TinWhist		4	gs4:TinWhist
004	075	025	TinWhsNm		4	gs4:TinWhsNm
004	075	026	TinWhsOr		4	gs4:TinWhsOr
000	076	049	BotlBlow	1	1	gs1:BotlBlow
002	076	049	BotlBlow	1	2	gs2:BotlBlow
000	077	049	Shakhchi	1	1	gs1:Shakhchi
003	077	001	Di Zi 2		3	gs3:Di Zi 2
000	078	049	Whistle	0	1	gs1:Whistle
003	078	001	Whistle2		3	gs3:Whistle2
000	079	049	Ocarina	0	1	gs1:Ocarina
000	080	049	SquareLd	1	1	gs1:SquareLd
003	080	049	SquareLd	1	3	gs3:SquareLd
000	080	001	SquareWv		1	gs1:SquareWv
003	080	001	MGSquare		3	gs3:MGSquare
002	080	002	HolwMini		2	gs2:HolwMini
002	080	003	MellowFM		2	gs2:MellowFM
002	080	004	CC Solo		2	gs2:CC Solo
002	080	005	Shmoog		2	gs2:Shmoog
002	080	006	LMSquare		2	gs2:LMSquare
004	080	007	JP8k TWM		4	gs4:JP8k TWM
000	080	008	SineWave		1	gs1:SineWave
003	080	008	2600Sine		3	gs3:2600Sine
003	080	009	SineLead		3	gs3:SineLead
003	080	010	KG Lead		3	gs3:KG Lead
004	080	011	TwinSine		4	gs4:TwinSine
003	080	016	P5Square		3	gs3:P5Square
003	080	017	OBSquare		3	gs3:OBSquare
003	080	018	JP-8 Sqr		3	gs3:JP-8 Sqr
004	080	019	DsSquare		4	gs4:DsSquare
004	080	020	303SqrDs		4	gs4:303SqrDs
004	080	021	303SqDs2		4	gs4:303SqDs2
004	080	022	303MixSq		4	gs4:303MixSq
004	080	023	2Sqr&Saw		4	gs4:2Sqr&Saw
003	080	024	Pulse Ld		3	gs3:Pulse Ld
003	080	025	JP8Pulse		3	gs3:JP8Pulse
003	080	026	JP8Puls2		3	gs3:JP8Puls2
003	080	027	MGRezPls		3	gs3:MGRezPls
004	080	028	JP8Puls3		4	gs4:JP8Puls3
004	080	029	260 Ring		4	gs4:260 Ring
004	080	030	303DstLd		4	gs4:303DstLd
004	080	031	JP8kDsLd		4	gs4:JP8kDsLd
004	080	032	HipHopSi		4	gs4:HipHopSi
004	080	033	HipHopSq		4	gs4:HipHopSq
004	080	034	HipHopPu		4	gs4:HipHopPu
004	080	035	FluxPuls		4	gs4:FluxPuls
000	081	049	Saw Lead	1	1	gs1:Saw Lead
003	081	049	Saw Lead	1	3	gs3:Saw Lead
000	081	001	Saw Wave		1	gs1:Saw Wave
003	081	001	OB2 Saw		3	gs3:OB2 Saw
002	081	002	PulseSaw		2	gs2:PulseSaw
002	081	003	FelineGR		2	gs2:FelineGR
002	081	004	Big Lead		2	gs2:Big Lead
002	081	005	VeloLead		2	gs2:VeloLead
002	081	006	GR-300		2	gs2:GR-300
002	081	007	LA Saw		2	gs2:LA Saw
000	081	008	Dr. Lead		1	gs1:Dr. Lead
003	081	009	ThickSaw		3	gs3:ThickSaw
004	081	010	JP8k Saw		4	gs4:JP8k Saw
003	081	011	D-50 Fat		3	gs3:D-50 Fat
004	081	012	OBDblSaw		4	gs4:OBDblSaw
004	081	013	JPDblSaw		4	gs4:JPDblSaw
004	081	014	ThickSw2		4	gs4:ThickSw2
004	081	015	SuperSaw		4	gs4:SuperSaw
002	081	016	WaspySyn		2	gs2:WaspySyn
003	081	017	PM Lead		3	gs3:PM Lead
003	081	018	CS SawLd		3	gs3:CS SawLd
003	081	024	MG Saw		3	gs3:MG Saw
003	081	025	MG Saw 2		3	gs3:MG Saw 2
003	081	026	OB Saw		3	gs3:OB Saw
003	081	027	OB Saw 2		3	gs3:OB Saw 2
003	081	028	D-50 Saw		3	gs3:D-50 Saw
003	081	029	SH101Saw		3	gs3:SH101Saw
003	081	030	CS Saw		3	gs3:CS Saw
003	081	031	MG SawLd		3	gs3:MG SawLd
003	081	032	OB SawLd		3	gs3:OB SawLd
003	081	033	P5 SawLd		3	gs3:P5 SawLd
003	081	034	MGUnison		3	gs3:MGUnison
003	081	035	OctSawLd		3	gs3:OctSawLd
004	081	036	NtrlLead		4	gs4:NtrlLead
003	081	040	Seq.Saw.		3	gs3:Seq.Saw.
003	081	041	Seq.Saw2		3	gs3:Seq.Saw2
003	081	042	Reso Saw		3	gs3:Reso Saw
003	081	043	CheezSaw		3	gs3:CheezSaw
003	081	044	ChzSaw 2		3	gs3:ChzSaw 2
003	081	045	Rthm Saw		3	gs3:Rthm Saw
004	081	046	SeqAna.3		4	gs4:SeqAna.3
004	081	047	TeknoSaw		4	gs4:TeknoSaw
000	082	049	CaliopLd	1	1	gs1:CaliopLd
002	082	001	VentLead		2	gs2:VentLead
002	082	002	Pure Pan		2	gs2:Pure Pan
000	083	049	Chiff Ld	1	1	gs1:Chiff Ld
003	083	001	TB Lead		3	gs3:TB Lead
004	083	002	HybridLd		4	gs4:HybridLd
004	083	003	UnisnSqr		4	gs4:UnisnSqr
004	083	004	FtSoloLd		4	gs4:FtSoloLd
004	083	005	Force.Ld		4	gs4:Force.Ld
004	083	006	OctUnisn		4	gs4:OctUnisn
004	083	007	UnisnSaw		4	gs4:UnisnSaw
003	083	008	Mad Lead		3	gs3:Mad Lead
004	083	009	Crowd.Ld		4	gs4:Crowd.Ld
004	083	010	DblSqrLd		4	gs4:DblSqrLd
000	084	049	CharanLd	1	1	gs1:CharanLd
004	084	001	WireLead		4	gs4:WireLead
004	084	002	FBCharan		4	gs4:FBCharan
004	084	003	FatGR Ld		4	gs4:FatGR Ld
004	084	004	Windy GR		4	gs4:Windy GR
004	084	005	MellowGR		4	gs4:MellowGR
004	084	006	GR&Pulse		4	gs4:GR&Pulse
002	084	008	DistLead		2	gs2:DistLead
003	084	009	Acid Gtr		3	gs3:Acid Gtr
003	084	010	AcidGtr2		3	gs3:AcidGtr2
004	084	011	DanceDGt		4	gs4:DanceDGt
004	084	012	DanceDG2		4	gs4:DanceDG2
003	084	016	P5Snc.Ld		3	gs3:P5Snc.Ld
003	084	017	FatSncLd		3	gs3:FatSncLd
003	084	018	RockLead		3	gs3:RockLead
003	084	019	5thDcySn		3	gs3:5thDcySn
003	084	020	DirtySnc		3	gs3:DirtySnc
004	084	021	DualSync		4	gs4:DualSync
004	084	022	LA Brass		4	gs4:LA Brass
003	084	024	JUNOSbOs		3	gs3:JUNOSbOs
004	084	025	2600SbOs		4	gs4:2600SbOs
004	084	026	JP8kFdOs		4	gs4:JP8kFdOs
000	085	049	Voice Ld	1	1	gs1:Voice Ld
004	085	001	VoiceLd2		4	gs4:VoiceLd2
003	085	008	Vox Lead		3	gs3:Vox Lead
003	085	009	LFO Vox		3	gs3:LFO Vox
004	085	010	VoxLead2		4	gs4:VoxLead2
000	086	049	Fifth Ld	1	1	gs1:Fifth Ld
002	086	001	Big Five		2	gs2:Big Five
003	086	002	5th Lead		3	gs3:5th Lead
003	086	003	5thAnClv		3	gs3:5thAnClv
004	086	004	5thPulse		4	gs4:5thPulse
004	086	005	JP5thSaw		4	gs4:JP5thSaw
004	086	006	JP8k 5FB		4	gs4:JP8k 5FB
003	086	008	4th Lead		3	gs3:4th Lead
000	087	049	Bass&Ld	1	1	gs1:Bass&Ld
002	087	001	Big&Raw		2	gs2:Big&Raw
002	087	002	Fat&Prky		2	gs2:Fat&Prky
003	087	003	JUNORave		3	gs3:JUNORave
003	087	004	JP8BaLd1		3	gs3:JP8BaLd1
003	087	005	JP8BaLd2		3	gs3:JP8BaLd2
003	087	006	SH-5BaLd		3	gs3:SH-5BaLd
004	087	007	Delay.Ld		4	gs4:Delay.Ld
000	088	049	Fantasia	1	1	gs1:Fantasia
002	088	001	Fantasy2		2	gs2:Fantasy2
003	088	002	NewAgePd		3	gs3:NewAgePd
003	088	003	BelHeavn		3	gs3:BelHeavn
004	088	004	Fantasy3		4	gs4:Fantasy3
004	088	005	Fantasy4		4	gs4:Fantasy4
004	088	006	After D!		4	gs4:After D!
004	088	007	260HrmPd		4	gs4:260HrmPd
000	089	049	Warm Pad	0	1	gs1:Warm Pad
002	089	001	ThickPad		2	gs2:ThickPad
003	089	001	ThickMtx		3	gs3:ThickMtx
002	089	002	Horn Pad		2	gs2:Horn Pad
002	089	003	RotarStr		2	gs2:RotarStr
002	089	004	Soft Pad		2	gs2:Soft Pad
003	089	004	OBSoftPd		3	gs3:OBSoftPd
004	089	005	Sine Pad		4	gs4:Sine Pad
004	089	006	OBSftPd2		4	gs4:OBSftPd2
003	089	008	OctavePd		3	gs3:OctavePd
003	089	009	StackPad		3	gs3:StackPad
004	089	010	HumanPad		4	gs4:HumanPad
004	089	011	SyncBrPd		4	gs4:SyncBrPd
004	089	012	OctPWMPd		4	gs4:OctPWMPd
004	089	013	JPSoftPd		4	gs4:JPSoftPd
000	090	049	PolySyPd	1	1	gs1:PolySyPd
002	090	001	80sPlySy		2	gs2:80sPlySy
003	090	002	PlySyPd2		3	gs3:PlySyPd2
003	090	003	PolyKing		3	gs3:PolyKing
004	090	004	SuprPoly		4	gs4:SuprPoly
003	090	008	PwrStack		3	gs3:PwrStack
003	090	009	OctStack		3	gs3:OctStack
003	090	010	RezStack		3	gs3:RezStack
003	090	011	TekStack		3	gs3:TekStack
004	090	012	PulseStk		4	gs4:PulseStk
004	090	013	TwnOctRv		4	gs4:TwnOctRv
004	090	014	Oct.Rave		4	gs4:Oct.Rave
004	090	015	HappySyn		4	gs4:HappySyn
004	090	016	FwdSweep		4	gs4:FwdSweep
004	090	017	RevSweep		4	gs4:RevSweep
004	090	024	MinorRav		4	gs4:MinorRav
000	091	049	ChoirPad	1	1	gs1:ChoirPad
002	091	001	Heaven		2	gs2:Heaven
003	091	002	SCHeaven		3	gs3:SCHeaven
004	091	003	Itopia		4	gs4:Itopia
004	091	004	WaterSpa		4	gs4:WaterSpa
004	091	005	Cold Spa		4	gs4:Cold Spa
004	091	006	NzPeaker		4	gs4:NzPeaker
004	091	007	BambooHt		4	gs4:BambooHt
003	091	008	CosmicVx		3	gs3:CosmicVx
003	091	009	Auh Vox		3	gs3:Auh Vox
003	091	010	Auh Auh		3	gs3:Auh Auh
003	091	011	Vocorder		3	gs3:Vocorder
004	091	012	Holy Vox		4	gs4:Holy Vox
000	092	049	BowedPad	1	1	gs1:BowedPad
003	092	001	SftBelPd		3	gs3:SftBelPd
003	092	002	JP8SqrPd		3	gs3:JP8SqrPd
003	092	003	7thBelPd		3	gs3:7thBelPd
004	092	004	SteelGls		4	gs4:SteelGls
004	092	005	BotlStak		4	gs4:BotlStak
000	093	049	MetalPad	1	1	gs1:MetalPad
002	093	001	Tine Pad		2	gs2:Tine Pad
002	092	002	PannerPd		2	gs2:PannerPd
004	092	003	SteelPad		4	gs4:SteelPad
004	092	004	Spe.Rave		4	gs4:Spe.Rave
004	092	005	MetalPd2		4	gs4:MetalPd2
000	094	049	Halo Pad	1	1	gs1:Halo Pad
003	094	001	VoicePad		3	gs3:VoicePad
003	094	002	VoxSweep		3	gs3:VoxSweep
003	094	008	HorrorPd		3	gs3:HorrorPd
004	094	009	SynVoxPd		4	gs4:SynVoxPd
004	094	010	SynVxPd2		4	gs4:SynVxPd2
004	094	011	BrthRise		4	gs4:BrthRise
004	094	012	TearsVox		4	gs4:TearsVox
000	095	049	SweepPad	0	1	gs1:SweepPad
002	095	001	PolarPad		2	gs2:PolarPad
004	095	002	Ambi.BPF		4	gs4:Ambi.BPF
004	095	003	Sync Pad		4	gs4:Sync Pad
004	095	004	Warriors		4	gs4:Warriors
002	095	008	Converge		2	gs2:Converge
002	095	009	Shwimmer		2	gs2:Shwimmer
002	095	010	Celstial		2	gs2:Celstial
003	095	011	BagSweep		3	gs3:BagSweep
004	095	012	Swp.Pipe		4	gs4:Swp.Pipe
004	095	013	SwpStack		4	gs4:SwpStack
004	095	014	Deep Swp		4	gs4:Deep Swp
004	095	015	StrayPad		4	gs4:StrayPad
000	096	049	Ice Rain	1	1	gs1:Ice Rain
000	096	001	HrmoRain		1	gs1:HrmoRain
000	096	002	AfrcWind		1	gs1:AfrcWind
003	096	003	AnklngPd		3	gs3:AnklngPd
003	096	004	RattlePd		3	gs3:RattlePd
000	096	008	ClaviPad		1	gs1:ClaviPad
000	097	049	SoundTrk	1	1	gs1:SoundTrk
000	097	001	Ancestrl		1	gs1:Ancestrl
000	097	002	Prologue		1	gs1:Prologue
003	097	003	Prolog 2		3	gs3:Prolog 2
003	097	004	Hols Str		3	gs3:Hols Str
000	097	008	Rave		1	gs1:Rave
000	098	049	Crystal	1	1	gs1:Crystal
000	098	001	SynMalet		1	gs1:SynMalet
000	098	002	SftCryst		1	gs1:SftCryst
000	098	003	RndGlock		1	gs1:RndGlock
000	098	004	LoudGlok		1	gs1:LoudGlok
000	098	005	GlockChi		1	gs1:GlockChi
000	098	006	ClearBel		1	gs1:ClearBel
000	098	007	XmasBell		1	gs1:XmasBell
000	098	008	VibraBel		1	gs1:VibraBel
000	098	009	DigiBell		1	gs1:DigiBell
003	098	010	MusicBel		3	gs3:MusicBel
003	098	011	AnalgBel		3	gs3:AnalgBel
000	098	016	ChorlBel		1	gs1:ChorlBel
000	098	017	AirBells		1	gs1:AirBells
000	098	018	BellHarp		1	gs1:BellHarp
000	098	019	Gamelmba		1	gs1:Gamelmba
003	098	020	JUNO Bel		3	gs3:JUNO Bel
000	099	049	Atmosphr	1	1	gs1:Atmosphr
000	099	001	WarmAtms		1	gs1:WarmAtms
000	099	002	NylnHarp		1	gs1:NylnHarp
000	099	003	Harp Vox		1	gs1:Harp Vox
000	099	004	Holw.Rlz		1	gs1:Holw.Rlz
000	099	005	NlnRhode		1	gs1:NlnRhode
000	099	006	Ambient		1	gs1:Ambient
003	099	007	Invisibl		3	gs3:Invisibl
003	099	008	PulseKey		3	gs3:PulseKey
003	099	009	NoisePno		3	gs3:NoisePno
000	100	049	Bright	1	1	gs1:Bright
003	100	001	ShneStar		3	gs3:ShneStar
003	100	002	OB Stab		3	gs3:OB Stab
003	100	008	Org Bell		3	gs3:Org Bell
000	101	049	Goblins	1	1	gs1:Goblins
000	101	001	GobSynth		1	gs1:GobSynth
000	101	002	50sSciFi		1	gs1:50sSciFi
003	101	003	Abduct		3	gs3:Abduct
003	101	004	Auhbient		3	gs3:Auhbient
003	101	005	LFO Pad		3	gs3:LFO Pad
003	101	006	RandmStr		3	gs3:RandmStr
003	101	007	RandomPd		3	gs3:RandomPd
003	101	008	Low Bird		3	gs3:Low Bird
003	101	009	FallDown		3	gs3:FallDown
003	101	010	LFO Rave		3	gs3:LFO Rave
003	101	011	LFO Horr		3	gs3:LFO Horr
003	101	012	LFO Tech		3	gs3:LFO Tech
003	101	013	Altrnate		3	gs3:Altrnate
003	101	014	UFO FX		3	gs3:UFO FX
003	101	015	GarglMan		3	gs3:GarglMan
003	101	016	Sweep FX		3	gs3:Sweep FX
000	102	049	Echoes	0	1	gs1:Echoes
000	102	001	EchoBell		1	gs1:EchoBell
000	102	002	Echo Pan		1	gs1:Echo Pan
000	102	003	EchoPan2		1	gs1:EchoPan2
000	102	004	Big Pan		1	gs1:Big Pan
000	102	005	Reso Pan		1	gs1:Reso Pan
000	102	006	WaterPno		1	gs1:WaterPno
003	102	008	Pan Seq.		3	gs3:Pan Seq.
003	102	009	Aqua		3	gs3:Aqua
000	103	049	StarThme	1	1	gs1:StarThme
000	103	001	StarThm2		1	gs1:StarThm2
003	103	008	DreamPad		3	gs3:DreamPad
003	103	009	SilkyPad		3	gs3:SilkyPad
003	103	016	NewCntry		3	gs3:NewCntry
003	103	017	7thAtmos		3	gs3:7thAtmos
003	103	018	GalaxyWy		3	gs3:GalaxyWy
000	104	049	Sitar	0	1	gs1:Sitar
004	104	049	Sitar	0	4	gs4:Sitar
000	104	001	Sitar 2		1	gs1:Sitar 2
002	104	002	DetSitar		2	gs2:DetSitar
003	104	003	Sitar 3		3	gs3:Sitar 3
004	104	004	SitarDrn		4	gs4:SitarDrn
004	104	005	Sitar 4		4	gs4:Sitar 4
002	104	008	Tambra		2	gs2:Tambra
002	104	016	Tamboura		2	gs2:Tamboura
000	105	049	Banjo	0	1	gs1:Banjo
002	105	049	Banjo	0	2	gs2:Banjo
002	105	001	MuteBnjo		2	gs2:MuteBnjo
002	105	008	Rabab		2	gs2:Rabab
003	105	009	San Xian		3	gs3:San Xian
002	105	016	Gopichnt		2	gs2:Gopichnt
002	105	024	Oud		2	gs2:Oud
003	105	028	Oud&Str		3	gs3:Oud&Str
003	105	032	Pi Pa		3	gs3:Pi Pa
000	106	049	Shamisen	0	1	gs1:Shamisen
002	106	001	Tsugaru		2	gs2:Tsugaru
003	106	008	SynShami		3	gs3:SynShami
000	107	049	Koto	0	1	gs1:Koto
003	107	049	Koto	0	3	gs3:Koto
003	107	001	Gu Zheng		3	gs3:Gu Zheng
000	107	008	Taisho		1	gs1:Taisho
002	107	016	Kanoon		2	gs2:Kanoon
003	107	019	Kann&Chr		3	gs3:Kann&Chr
003	107	024	Oct Harp		3	gs3:Oct Harp
000	108	049	Kalimba	0	1	gs1:Kalimba
002	108	049	Kalimba	0	2	gs2:Kalimba
003	108	049	Kalimba	0	3	gs3:Kalimba
003	108	008	Sanza		3	gs3:Sanza
004	108	009	Bodhran		4	gs4:Bodhran
004	108	010	MuteBodh		4	gs4:MuteBodh
000	109	049	Bagpipe	0	1	gs1:Bagpipe
003	109	008	Didgrdoo		3	gs3:Didgrdoo
