MSB	PRG	LSB	NME	LVL
121	024	036	NylnBosa	1
121	024	037	Ac.GtrKO	1
121	024	038	EspaGtr.	1
121	024	039	Gtr.Str.	1
121	025	032	SteelGtr	0
121	025	033	12StrGtr	0
121	025	034	Mandolin	0
121	025	035	Stl&Body	0
121	025	036	SteelGt2	1
121	025	037	St12StrG	1
121	025	038	Hackbret	1
121	025	039	FngrGtKO	1
121	025	040	FngrTips	1
121	025	041	StFolkGt	1
121	025	042	MndolnKO	1
121	025	043	MandoTrm	1
121	025	044	Reso.Gtr	1
121	026	032	Jazz Gtr	0
121	026	033	PdlSteel	0
121	026	034	ClubJzGt	1
121	026	035	ClbJzGt2	1
121	026	036	PdlStl.2	1
121	027	032	CleanGtr	0
121	027	033	DetChoGt	0
121	027	034	MidT.Gtr	0
121	027	035	ChorusGt	1
121	027	036	VintgSGt	1
121	027	037	ProcesGt	1
121	027	038	SnglCoil	1
121	027	039	NuStr8Gt	1
121	027	040	Gitarish	1
121	027	041	LR ElGtr	1
121	027	042	LR EGtr2	1
121	027	043	CntryNew	1
121	027	044	FnkyWaSw	1
121	028	032	MutedGtr	0
121	028	033	Funk Gtr	0
121	028	034	MutedGtV	0
121	028	035	Jazz Man	0
121	029	032	OvrDrvGt	0
121	029	033	Gt.Pinch	0
121	030	032	Dist.Gtr	0
121	030	033	FeedbkGt	0
121	030	034	DstRthmG	0
121	031	032	GtrHarmo	0
121	031	033	GtFeedbk	0
121	031	034	EGtrHrmo	1
121	032	032	Aco.Bass	0
121	032	033	AcBaBuzz	1
121	032	034	Bas&Ride	1
121	033	032	FngrBass	0
121	033	033	FngrSlap	0
121	033	034	FngrEBas	1
121	033	035	FngrEBa2	1
121	033	036	FngrEBa3	1
121	033	037	StickBas	1
121	034	032	PickBass	0
121	035	032	Fretless	0
121	036	032	SlapBass	0
121	037	032	SlapBas2	0
121	037	033	ThumbBas	1
121	037	034	Dyna.Bas	1
121	038	032	SynBass1	0
121	038	033	WarmBass	0
121	038	034	ResoBass	0
121	038	035	Clv.Bass	0
121	038	036	HammerBa	0
121	038	037	30303Bas	1
121	038	038	30303Sqr	1
121	038	039	SquareBa	1
121	038	040	ResSynBa	1
121	038	041	Digi.Bas	1
121	038	042	Digi.Ba2	1
121	038	043	Digi.Ba3	1
121	038	044	Blnd@Bat	1
121	038	045	JungleBa	1
121	038	046	AutoPilt	1
