voiceId	scSqr	scScale
gs3:GalaxyWy		
gs1:Sitar	1	0.5625
gs4:Sitar		
gs1:Sitar 2	1	0.4375
gs2:DetSitar		
gs3:Sitar 3		
gs4:SitarDrn		
gs4:Sitar 4		
gs2:Tambra		
gs2:Tamboura		
gs1:Banjo	1	1
gs2:Banjo		
gs2:MuteBnjo		
gs2:Rabab		
gs3:San Xian		
gs2:Gopichnt		
gs2:Oud		
gs3:Oud&Str		
gs3:Pi Pa		
gs1:Shamisen	1	1
gs2:Tsugaru		
gs3:SynShami		
gs1:Koto	1	0.6875
gs3:Koto		
gs3:Gu Zheng		
gs1:Taisho	1	0.5
gs2:Kanoon		
gs3:Kann&Chr		
gs3:Oct Harp		
gs1:Kalimba	1	0.9375
gs2:Kalimba		
gs3:Kalimba		
gs3:Sanza		
gs4:Bodhran		
gs4:MuteBodh		
gs1:Bagpipe	1	0.75
gs3:Didgrdoo		
gs4:UillPipe		
gs4:UillPpNm		
gs4:UillPpOr		
gs1:Fiddle	1	0.5625
gs3:Er Hu		
gs3:Gao Hu		
gs1:Shanai	1	0.5625
gs2:Shanai 2		
gs2:Pungi		
gs2:Hichriki		
gs3:Mizmar		
gs3:Suona		
gs3:Suona 2		
gs1:TnklBell	1	1
gs2:Bonang		
gs2:Gender		
gs2:GmlnGong		
gs2:StGameln		
gs3:Jang-Gu		
gs4:Jegogan		
gs4:Jublag		
gs4:Pemade		
gs2:RAMACymb		
gs4:Kajar		
gs4:Kelontuk		
gs4:KelntkMt		
gs4:KelntkSd		
gs4:KopyakOp		
gs4:KopyakMt		
gs4:CengCeng		
gs4:Reyoung		
gs4:Kempur		
gs4:JnglCrsh		
gs4:JgCrsh!!		
gs4:RideCym!		
gs4:RideBel!		
gs1:Agogo	1	0.75
gs2:Agogo		
gs2:Atargane		
gs3:Tmbourin		
gs1:SteelDrm	1	0.625
gs3:IslndMlt		
gs1:Woodblok	1	0.9375
gs1:Castanet	1	1
gs3:Angklung		
gs3:AngkRthm		
gs3:FngrSnap		
gs3:909 Clap		
gs4:HandClp!		
gs1:Taiko	1	0.75
gs3:SmallTko		
gs1:ConcrtBD	1	0.625
gs4:Con.BDMt		
gs3:JungleBD		
gs3:TechnoBD		
gs3:Bounce		
gs4:KendnWad		
gs4:Bebarngn		
gs4:Pelegngn		
gs4:Dholak		
gs4:Dholak 2		
gs4:JnglBaDr		
gs4:Kick1 !!		
gs4:Kick2 !!		
gs4:Kick3 !!		
gs4:Kick4 !!		
gs1:MelodTom	1	0.625
gs2:Real Tom		
gs4:RealTom2		
gs4:Jazz Tom		
gs4:BrushTom		
gs1:MeloTom2	2	0.75
gs2:Rock Tom		
gs3:Rash SD		
gs3:House SD		
gs3:JungleSD		
gs3:909 SD		
gs4:JnglSnDr		
gs4:Snare1!!		
gs4:Snare2!!		
gs4:Snare3!!		
gs4:Snare4!!		
gs4:Snare5!!		
gs1:Syn Drum	0	0.75
gs1:808 Tom	0	0.75
gs1:ElecPerc	1	0.625
gs3:SinePerc		
gs3:606 Tom		
gs3:909 Tom		
gs4:606DsTom		
gs1:RevCymbl	1	0.5625
gs2:RvCymbl2		
gs3:RvCymbl3		
gs4:RvCymbl4		
gs2:RevSnare		
gs2:RvSnare2		
gs2:Rev Kick		
gs2:RevConBD		
gs2:Rev.Tom		
gs2:Rev.Tom2		
gs4:Rev.Tom3		
gs4:Rev.Tom4		
gs4:RvSnr1!!		
gs4:RvSnr2!!		
gs4:RvSnr3!!		
gs4:RvBDr1!!		
gs4:RvBDr2!!		
gs4:RvBDr3!!		
gs4:RvClap!!		
gs1:FretNoiz	1	0.4375
gs1:CutNoise	0	0.25
gs1:Str.Slap	4	0.5
gs2:CutNoiz2		
gs2:DstCutNz		
gs2:B.Slide		
gs2:P.Scrape		
gs3:Gtr.Fx!!		
gs3:BartkPiz		
gs3:Gtr.Slap		
gs3:ChrdStrk		
gs3:BiwaStrk		
gs3:BiwaTrem		
gs4:AcBaNz!!		
gs4:DsGtNz!!		
gs4:ElGtNz!!		
gs4:ElGtNz!2		
gs4:GtStrk!!		
gs4:GtSlide!		
gs4:AcBaMute		
gs4:AcBaTch.		
gs4:AcBaAtk.		
gs4:TCUpNoiz		
gs4:TCDownMt		
gs4:TC Up Mt		
gs4:TCDownNz		
gs4:DsGtUpNz		
gs4:DsGtDown		
gs4:DsGtDwn2		
gs4:DsGtMute		
gs4:GtrStrk5		
gs4:StlGtrSl		
gs4:StlGtSl2		
gs4:StlGtSl3		
gs4:StlGtSl4		
gs4:Gtr.Strk		
gs4:GtrStrk2		
gs4:GtrStrk3		
gs4:GtrStrk4		
gs1:BrthNoiz	0	0.875
gs1:Fl.KClik	0	0.8125
gs4:BrthNz!!		
gs4:Fl. Brth		
gs4:Fl.Brth2		
gs4:Fl.Brth3		
gs4:VoxBrth.		
gs4:VoxBrth2		
gs4:TrombnNz		
gs4:TrumptNz		
gs1:Seashore	1	0.6875
gs1:Shower	1	0.4375
gs1:Thunder	4	0.9375
gs1:Wind	3	0.9375
gs1:Stream	2	0.75
gs1:Bubble	4	0.75
gs3:Wind 2		
gs4:Cricket		
gs3:PinkNoiz		
gs3:White Nz		
gs1:Tweet	1	0.5
gs1:Dog Woof	2	0.5625
gs1:HorseGlp	2	0.625
gs1:BirdTwit	1	0.3125
gs2:Kitty		
gs2:Growl		
gs4:Growl 2		
gs4:FancyAni		
gs4:Seal		
gs1:Telphone	1	0.4375
gs1:PhonCall	2	0.5
gs1:DoorSqek	3	0.625
gs1:DoorSlam	2	0.75
gs1:ScratchC	4	0.625
gs1:WindChim	3	0.75
gs2:Scratch2		
gs3:ScrachKy		
gs3:TapeRwnd		
gs3:PhonNoiz		
gs3:MC500 Bp		
gs4:Scratch3		
gs4:Scratch4		
gs4:Scratch5		
gs4:Scratch6		
gs4:Scratch7		
gs1:Helicptr	1	0.6875
gs1:CarStart	2	0.75
gs1:CarTyreS	2	0.625
gs1:Car Pass	2	0.75
gs1:CarCrash	4	0.625
gs1:Siren	4	0.9375
gs1:Train	4	0.9375
gs1:JetPlane	2	1
gs1:Starship	1	0.625
gs1:Burst	1	0.375
gs3:Calclate		
gs3:PercBang		
gs4:Burner		
gs4:Glas&Glm		
gs4:Ice Ring		
gs4:OverBlow		
gs4:CrakBotl		
gs4:PourBotl		
gs4:Soda		
gs4:CD Tray		
gs4:AudioSwi		
gs4:Key Type		
gs4:TrainHrn		
gs4:TrainPas		
gs4:CarStar2		
gs4:Car Horn		
gs4:Boeeeeen		
gs4:RailCros		
gs4:Compress		
gs4:SwordBom		
gs4:SwordCrs		
gs4:Stab		
gs4:Stab 2		
gs1:Applause	1	0.5625
gs1:LaughVox	3	0.9375
gs1:ScreamVx	4	0.9375
gs1:Punch	3	0.75
gs1:Heart	4	0.75
gs1:Footstep	4	0.4375
gs2:Applauz2		
gs3:SmalClub		
gs3:ApplzWav		
gs4:BabyLaf.		
gs3:Voice 1		
gs3:Voice 2		
gs3:Voice 3		
gs3:VoiceTah		
gs3:VoiceWey		
gs4:Vx Kikit		
gs4:VxComeOn		
gs4:Voice Ow		
gs4:VoiceWoo		
gs4:VoiceHie		
gs1:Gunshot	1	0.75
gs1:MchinGun	3	0.625
gs1:LaserGun	3	0.625
gs1:Xplosion	2	0.625
gs3:Eruption		
gs3:Big Shot		
gs4:Xploshn2		
mt1:GrandPno	1	0.3125
mt1:BritePno	1	0.375
mt1:MelloGrP	1	0.3125
mt1:ElPiano1	1	0.3125
mt1:ElPiano2	1	0.25
mt1:ElPiano3	0	0.3125
mt1:ElPiano4	1	0.3125
mt1:HnkyTonk	1	0.375
mt1:ElecOrgn	0	0.3125
mt1:ElecOrg2	0	0.375
mt1:ElecOrg3	1	0.4375
mt1:ElecOrg4	0	0.3125
mt1:PipeOrgn	0	0.1875
mt1:PipeOrg2	0	0.25
mt1:PipeOrg3	0	0.1875
mt1:Acordion	0	0.1875
mt1:Hrpschrd	1	0.4375
mt1:Hpschrd2	0	0.4375
mt1:Hpschrd3	0	0.25
mt1:Clvichrd	0	0.375
mt1:Clavi. 2	1	0.3125
mt1:Clavi. 3	0	0.3125
mt1:Celesta	0	0.1875
mt1:Celesta2	0	0.25
mt1:SynBrass	0	0.375
mt1:SynBras2	0	0.375
mt1:SynBras3	0	0.25
mt1:SynBras4	1	0.5625
mt1:SynBass1	1	0.4375
mt1:SynBass2	0	0.28125
mt1:SynBass3	1	0.3125
mt1:SynBass4	0	0.25
mt1:Fantasia	0	0.375
mt1:HarmoPan	0	0.125
mt1:Chorale	0	0.3125
mt1:Glasses	0	0.375
mt1:SoundTrk	1	0.5
mt1:Atmosphr	0	0.25
mt1:WarmBell	0	0.3125
mt1:FunnyVox	1	0.1875
mt1:EchoBell	1	0.4375
mt1:Ice Rain	1	0.625
mt1:Oboe2001	1	0.1875
mt1:Echo Pan	1	0.375
mt1:Dr. Solo	0	0.1875
mt1:Sch.Daze	0	0.1875
mt1:Belsingr	0	0.375
mt1:Sqr.Lead	0	0.1875
mt1:Str Sect	0	0.5
mt1:StrSect2	0	0.625
mt1:StrSect3	0	0.5625
mt1:Pizz.Str	0	0.3125
mt1:Violin	1	0.375
mt1:Violin 2	1	0.3125
mt1:Cello	1	0.4375
mt1:Cello 2	1	0.4375
mt1:Contrbas	1	0.4375
mt1:Harp	3	0.375
mt1:Harp 2	1	0.375
mt1:Guitar	1	0.4375
mt1:Guitar 2	0	0.1875
mt1:Elec.Gtr	0	0.46875
mt1:ElecGtr2	0	0.5
mt1:Sitar	1	0.5
mt1:Aco.Bass	0	0.5
mt1:AcouBas2	0	0.5
mt1:ElecBass	0	0.25
mt1:ElecBas2	0	0.1875
mt1:SlapBass	1	0.4375
mt1:SlapBas2	1	0.3125
mt1:Fretless	0	0.5
mt1:Fretles2	0	0.5
mt1:Flute	0	0.25
mt1:Flute 2	1	0.4375
mt1:Piccolo	1	0.4375
mt1:Piccolo2	0	0.21825
mt1:Recorder	0	0.3125
mt1:Pan Pipe	0	0.375
mt1:SprnoSax	0	0.5
mt1:Alto Sax	0	0.375
mt1:TenorSax	0	0.5625
mt1:Bari.Sax	0	0.3125
mt1:Clarinet	0	0.25
mt1:Clrinet2	0	0.25
mt1:Oboe	0	0.375
mt1:Eng.Horn	0	0.5625
mt1:Bassoon	0	0.375
mt1:Harmnica	0	0.375
mt1:Trumpet	0	0.4375
mt1:Trumpet2	0	0.4375
mt1:Trombone	0	0.4375
mt1:Trombon2	0	0.375
mt1:FrchHorn	0	0.3125
mt1:FrHorn 2	0	0.5625
mt1:Tuba	0	0.4375
mt1:BrasSect	0	0.75
mt1:BrasSec2	0	0.5
mt1:Vibrafon	0	0.375
mt1:Vibrfon2	0	0.375
mt1:SynMalet	1	0.1875
mt1:Windbell	1	0.3125
mt1:Glocken	1	0.3125
mt1:TubulBel	1	0.375
mt1:Xylophon	0	0.375
mt1:Marimba	0	0.375
mt1:Koto	0	0.375
mt1:Sho	0	0.1875
mt1:Shakhchi	0	0.4375
mt1:Whistle	0	0.375
mt1:Whistle2	0	0.25
mt1:BotlBlow	0	0.375
mt1:BrthPipe	0	0.4375
mt1:Timpani	0	0.25
mt1:MelodTom	0	0.375
mt1:Dp Snare	0	0.375
mt1:ElecPerc	0	0.28125
mt1:El.Perc2	0	0.375
mt1:Taiko	0	0.625
mt1:TaikoRim	0	0.3125
mt1:Cymbal	0	0.375
mt1:Cascanet	0	0.3125
mt1:Triangle	0	0.125
mt1:Orch.Hit	0	0.53125
mt1:Telphone	0	0.1875
mt1:Tweet	0	0.25
mt1:1NoteJam	1	0.75
mt1:WaterBel	0	0.1875
mt1:JnglTune	0	0.3125
mt2:BritePno		
mt2:HnkyTonk		
mt2:GrandPno		
mt2:ElPiano1		
mt2:Det.EP 1		
mt2:ElPiano2		
mt2:SteelGtr		
mt2:12StrGtr		
mt2:Funk Gtr		
mt2:MutedGtr		
mt2:SlapBass		
mt2:SlapBas2		
mt2:FngrBass		
mt2:PickBass		
mt2:Fretless		
mt2:Aco.Bass		
mt2:ChoirAah		
mt2:Slow Str		
mt2:Strings		
mt2:Syn.Str3		
mt2:DrawOrgn		
mt2:PercOrgn		
mt2:Trumpet		
mt2:Trombone		
mt2:Alto Sax		
mt2:TenorSax		
mt2:Bari.Sax		
mt2:BrasSect		
mt2:SynBrass		
mt2:Orch.Hit		
gs1:Standard	0	1
gs2:Standrd2	0	1
gs3:Standrd3	0	1
gs4:StdrdL/R	0	1
gs1:Room Kit	0	1
gs3:HipHopKt	0	1
gs3:JungleKt	0	1
gs3:TechnoKt	0	1
gs4:Room L/R	0	1
gs4:HouseKit	0	1
gs1:PowerKit	0	1
gs1:ElectrKt	0	1
gs1:AnalogKt	0	1
gs2:DanceKit	0	1
gs3:CR-78 Kt	0	1
gs3:TR-606Kt	0	1
gs3:TR-707Kt	0	1
gs3:AnalgKt2	0	1
gs1:Jazz Kit	0	1
gs4:Jazz L/R	0	1
gs1:BrushKit	0	1
gs4:BrushKt2	0	1
gs4:Brush2LR	0	1
gs1:Orch.Kit	0	1
gs2:EthnicKt	0	1
gs2:KikSnare	0	1
gs4:KkSnare2	0	1
gs3:AsianKit	0	1
gs3:CymbalKt	0	1
gs4:GamelnKt	0	1
gs4:GamlnKt2	0	1
gs1:SFX Kit	0	1
gs2:RyFX Kit	0	1
gs3:RyFX2 Kt	0	1
gs4:RyFX3 Kt	0	1
gs4:SFX Kt 2	0	1
gs4:VoiceKit	0	1
gs4:CymblKt2	0	1
gs1:MT-32 Kt	0	1
