MSB	PRG	LSB	NME
000	027	070	BridHamr
000	027	071	Dbl Hamr
000	027	072	St. Hamr
000	027	073	FMChoGtr
000	027	074	SoFMChGt
000	027	075	PeskyGtr
000	027	076	ClaviGtr
000	028	000	MutedGtr
000	028	040	Funk Gtr
000	028	041	MuteStrG
000	028	043	FunkGtr2
000	028	045	Jazz Man
000	028	064	Wrench
000	028	065	Heavy Wr
000	028	066	DblWrnch
000	028	067	Tin
000	028	068	GrvyMtGt
000	028	096	Mu.DstGt
000	029	000	OvrDrvGt
000	029	032	OvDrGtDt
000	029	040	Parallel
000	029	043	Gt.Pinch
000	029	064	MidMnhtn
000	029	065	BriMnhtn
000	029	066	DetMnhtn
000	029	067	PwrMnhtn
000	030	000	Dist.Gtr
000	030	012	DstRthmG
000	030	024	DistGtr2
000	030	035	DistGtr3
000	030	036	PowerGt2
000	030	037	PowerGtr
000	030	038	Dst.5ths
000	030	040	FeedbkGt
000	030	041	FeedbkG2
000	030	042	TwinDist
000	030	043	RckRthm2
000	030	045	RockRthm
000	030	064	Bite
000	030	065	ResoBite
000	030	066	Det.Bite
000	030	067	Bite +
000	030	068	Burnout
000	030	069	Bombay
000	030	070	SusBmbay
000	030	071	Jaipur
000	031	000	GtrHarmo
000	031	064	AcouHarm
000	031	065	GtFeedbk
000	031	066	GtrHrmo2
000	031	067	Shimla
000	032	000	Aco.Bass
000	032	040	JazzRthm
000	032	041	PkAcouBa
000	032	043	Blink Ba
000	032	045	VXUprght
000	032	064	Boston
000	032	065	BrBoston
000	032	066	Coolth
000	032	067	BrCoolth
000	032	096	WalkSyBa
000	032	097	Dim&Cool
000	033	000	FngrBass
000	033	018	FingrDrk
000	033	027	FlangrBa
000	033	032	FngrBaDt
000	033	040	Ba&DstEG
000	033	043	FngrSlap
000	033	045	FngrBas2
000	033	064	Jazzy Ba
000	033	065	Mod Bass
000	033	066	Chase
000	033	067	RezChase
000	033	068	BlueBass
000	033	069	JazzyBa2
000	034	000	PickBass
000	034	006	PickBas2
000	034	028	M.PkBass
000	034	040	PkBa&MGt
000	034	064	HardPick
000	034	065	RzHardPk
000	034	066	PickBa +
000	035	000	Fretless
000	035	032	Fretles2
000	035	033	Fretles3
000	035	034	Fretles4
000	035	064	Pwr.Fret
000	035	065	RzPwrFrt
000	035	066	TalkinBa
000	035	067	NoizFret
000	035	096	SynFretl
000	035	097	SmthFrtl
000	036	000	Slp.Bass
000	036	021	CosmSlap
000	036	027	ResoSlap
000	036	032	PunchThm
000	036	064	Slapper
000	036	065	Thum&Slp
000	036	066	GlitzSlp
000	036	067	FM Slap
000	036	068	DetFMSlp
000	037	000	SlpBass2
000	037	016	BrtSlpSp
000	037	022	Wah Slap
000	037	043	VeloSlap
000	038	000	Syn.Bass
000	038	018	SynBs1Dk
000	038	020	FastResB
000	038	021	TL66
000	038	024	AcidBass
000	038	027	ResoBass
000	038	028	MPulseBa
000	038	029	SlwAttak
000	038	035	Clv.Bass
000	038	040	TechnoBs
000	038	041	KickBass
000	038	042	NEP
000	038	064	Orbiter
000	038	065	Sqr.Bass
000	038	066	RubberBa
000	038	067	Fish
000	038	068	HardReso
000	038	069	Wah Saw
000	038	070	Pluto
000	038	071	Pluto +
000	038	072	Stimuli
000	038	073	RunPulse
000	038	074	TkinPuls
000	038	075	Node
000	038	076	Stainer
000	038	077	StainAtk
000	038	078	SweepSqr
000	038	079	SwpSqr +
000	038	080	Stinks
000	038	081	RezStink
000	038	082	Reso Sqr
000	038	083	Dagger
000	038	084	Zinc
000	038	085	SweePWM
000	038	086	St.SwPWM
000	038	087	Slow Wah
000	038	088	Crook
000	038	089	FstFrtBa
000	038	090	Rubber30
000	038	091	FstRezBa
000	038	092	MnplisBa
000	038	093	Miami Ba
000	038	094	RzTalkBx
000	038	096	Hammer
000	039	000	SynBass2
000	039	006	MelloSBa
000	039	012	Seq.Bass
000	039	018	ClkSynBs
000	039	019	SynBs2Dk
000	039	022	Zealot
000	039	032	SmthSynB
000	039	040	ModulrBs
000	039	041	DX Bass
000	039	042	DX BaBri
000	039	064	X WireBa
000	039	065	AtkPulse
000	039	066	CS Light
000	039	067	MetlBass
000	039	068	F.OsciBa
000	039	069	Cubit
000	039	070	Cubit +
000	039	071	Keel
000	039	072	Pwr Keel
000	039	073	PlnPulse
000	039	074	PwrPulse
000	039	075	BrPwPuls
000	039	076	PowerSaw
000	039	077	SmoothBa
000	039	078	SynthAtk
000	040	000	Violin
000	040	008	SlwVioln
000	040	040	Unison
000	040	064	Cadenza
000	040	065	CadenzDk
000	040	066	ViolinSc
000	040	067	HdVlnSec
000	040	068	SlVlnSec
000	041	000	Viola
000	041	040	DblViola
000	041	064	Sonata
000	041	065	ViolaSec
000	041	066	HdVlaSec
000	041	067	SlVlaSec
000	042	000	Cello
000	042	064	CellSect
000	042	065	HdCelloS
000	042	066	SlCelloS
000	043	000	Contrbas
000	043	064	ContrSec
000	043	065	HdContrS
000	043	066	SlContrS
000	044	000	Trem.Str
000	044	008	SlwTrStr
000	044	040	Susp.Str
000	044	064	Fear
000	044	065	Det.Fear
000	044	066	Apoclyps
000	044	067	BrTrmStr
000	045	000	Pizz.Str
000	045	035	PizzOcta
000	045	040	Sleep
000	045	064	Collegno
000	046	000	Harp
000	046	040	YangChin
000	046	064	ElecHarp
000	046	096	VlinHarp
000	046	097	DtVliHrp
000	047	000	Timpani
000	047	043	Roll&Hit
000	048	000	Strings1
000	048	003	StStrngs
000	048	008	Slow Str
000	048	014	SforzStr
000	048	024	Arco Str
000	048	035	60sStrng
000	048	040	OrcheStr
000	048	041	OrchStr2
000	048	042	TremOrch
000	048	045	Velo.Str
000	048	052	Lento
000	048	064	SuperStr
000	048	065	StSupStr
000	048	066	Triste
000	048	067	Basso
000	048	068	Stacc.Hi
000	048	069	Stacc.Lo
000	048	070	Hall Str
000	048	071	Str&FrHr
000	048	072	SolidStr
000	048	073	SwellStr
000	048	074	Str+BrSc
000	048	075	3 OctStr
000	048	076	5PartStr
000	049	000	Strings2
000	049	003	StSlwStr
000	049	008	LegatoSt
000	049	040	Warm Str
000	049	041	Kingdom
000	049	064	70s Str
000	049	065	Strings3
000	050	000	Syn. Str
000	050	008	Memory
000	050	018	Zephyr
000	050	027	Reso Str
000	050	035	Syn.Str3
000	050	039	Monarchy
000	050	040	GrandPad
000	050	041	SweepStr
000	050	042	SwpStrOc
000	050	064	Syn.Str4
000	050	065	Syn.Str5
000	050	066	Solitude
000	050	067	Fate
000	050	068	Thulium
000	050	069	Brook
000	050	070	St Brook
000	050	071	OldSyStr
000	051	000	Syn.Str2
000	051	021	TradeWnd
000	051	039	WormHole
000	051	064	Hope
000	051	065	Virgo
000	051	066	Platinum
000	051	067	Octa.PWM
000	051	068	Taurus
000	051	069	Frost
000	051	070	Leo
000	051	071	SolPlexs
000	051	072	Sun Rise
000	052	000	ChoirAah
000	052	003	St.Choir
000	052	016	ChoirAh2
000	052	032	MelChoir
000	052	039	Gasp
000	052	040	ChoirStr
000	052	041	Dead Sea
000	052	064	Str&C.Ah
000	052	065	MaleC.Ah
000	052	066	Scroll
000	052	067	Scroll +
000	052	068	StereoAh
000	052	069	Aah Mix
000	052	070	OrcheAah
000	053	000	VoiceOoh
000	053	064	VoiceDoo
000	053	065	Hmm
000	053	066	WhirlCho
000	053	067	StereoOh
000	053	096	VoiceHum
000	054	000	SynVoice
000	054	040	SynVoix2
000	054	041	Choral
000	054	064	AnalVoix
000	054	065	Aspirate
000	054	066	DtAspirt
000	054	067	Facula
000	055	000	Orch.Hit
000	055	008	LoFi Hit
000	055	035	OrchHit2
000	055	040	Throne
000	055	064	Impact
000	055	065	Brs Stab
000	055	066	DoublHit
000	055	067	BrsStb80
000	055	068	Bass Hit
000	055	069	BassHit+
000	055	070	6th Hit
000	055	071	6th Hit+
000	055	072	Euro Hit
000	055	073	EuroHit+
000	055	074	Blowout
000	055	075	Tricertp
000	056	000	Trumpet
000	056	016	Trumpet2
000	056	017	BriteTrp
000	056	032	Warm Trp
000	056	064	Dark Trp
000	056	065	SoftDTrp
000	056	066	Soft Trp
000	056	067	Blow
000	056	068	Dbl Blow
000	056	071	SweetTrp
000	056	072	MlSwtTrp
000	056	073	NormlTrp
000	056	074	Bril Trp
000	056	075	Fanfare
000	056	096	FlugelHr
000	056	097	Cornet
000	057	000	Trombone
000	057	018	Trombon2
000	057	064	BrtTromb
000	057	065	MelloTro
000	057	066	JJJ
000	057	067	BrilTrom
000	057	068	HardTrom
000	058	000	Tuba
000	058	016	Tuba 2
000	058	064	HardTuba
000	058	065	SlowTuba
000	058	066	Eufonium
000	059	000	MutedTrp
000	059	040	Backyard
000	059	064	MuteTrp2
000	059	065	BakStair
000	060	000	FrchHorn
000	060	006	FrHrSolo
000	060	032	FrHorn 2
000	060	037	HornOrch
000	060	064	Syn.Horn
000	060	065	HrnOrch2
000	060	066	BritFrHr
000	060	067	HardFrHr
000	061	000	BrasSect
000	061	003	StBrsSec
000	061	014	SforzBrs
000	061	018	MildBras
000	061	035	Tp&TbSec
000	061	036	TpTbSec2
000	061	039	BrasFall
000	061	040	BrsSect2
000	061	041	Hi Brass
000	061	042	MelloBrs
000	061	052	Bund
000	061	053	FakeHorn
000	061	054	FkHornOc
000	061	064	SuperBrs
000	061	065	CutBrass
000	061	066	BlownBrs
000	061	067	PwrSforz
000	061	068	BrtPwSfz
000	061	069	Alto&Trp
000	061	070	Tenor&Tp
000	061	071	BrasBros
000	061	072	VagueBro
000	061	073	BrsSect3
000	061	074	SforzBr2
000	061	075	OctBrass
000	061	076	Alps
000	061	077	SymphoBr
000	061	078	Phoenix
000	062	000	SynBrass
000	062	012	QuackBrs
000	062	020	RezSynBr
000	062	024	PolyBras
000	062	027	SynBras3
000	062	029	AnlSforz
000	062	032	JumpBras
000	062	040	SyBrsSub
000	062	045	AnVelBrs
000	062	064	Anal.Brs
000	062	065	Syn Then
000	062	066	Sync Brs
000	062	067	StSyncBr
000	062	068	Anal.Hrn
000	062	069	Anal.Hr2
000	062	070	OctAnaHr
000	062	071	PwSawBrs
000	063	000	SynBras2
000	063	018	SoftBras
000	063	040	SynBras4
000	063	041	ChoirBrs
000	063	042	Ana.Horn
000	063	045	AnVelBr2
000	063	064	AnalBrs2
000	063	065	Soft Cut
000	063	066	SoAnaHrn
000	064	000	SprnoSax
000	065	000	Alto Sax
000	065	040	Sax Sect
000	065	043	HyprAlto
000	066	000	TenorSax
000	066	040	BrthTnSx
000	066	041	SoftTenr
000	066	064	TenrSax2
000	067	000	Bari.Sax
000	068	000	Oboe
000	069	000	Eng.Horn
000	070	000	Bassoon
000	071	000	Clarinet
000	072	000	Piccolo
000	072	096	Bang Di
000	073	000	Flute
000	073	040	NeatBrth
000	073	064	Boehm
000	073	065	BthBoehm
000	073	066	Pastoral
000	073	067	Shepherd
000	073	096	Qu Di
000	074	000	Recorder
000	075	000	PanFlute
000	076	000	BotlBlow
000	077	000	Shakhchi
000	078	000	Whistle
000	079	000	Ocarina
000	080	000	SquareLd
000	080	006	SqrLead2
000	080	008	LMSquare
000	080	018	HollowSq
000	080	019	Shmoog
000	080	064	MellowSq
000	080	065	SoloSine
000	080	066	SineLead
000	080	067	Pulse Ld
000	081	000	Saw Lead
000	081	006	SawLead2
000	081	008	ThickSaw
000	081	018	Dyna.Saw
000	081	019	Digi.Saw
000	081	020	Big Lead
000	081	024	HeavySyn
000	081	025	WaspySyn
000	081	027	RezzySaw
000	081	032	DoublSaw
000	081	035	Toy Lead
000	081	036	Dim Saw
000	081	040	PulseSaw
000	081	041	Dr. Lead
000	081	045	VeloLead
000	081	064	Digger
000	081	096	SeqAnal.
000	082	000	CaliopLd
000	082	065	PureLead
000	083	000	Chiff Ld
000	083	064	Rubby
000	083	065	HardSync
000	084	000	CharanLd
000	084	064	DistLead
000	084	065	WireLead
000	084	066	SynPluck
000	085	000	Voice Ld
000	085	024	SynthAah
000	085	064	Vox Lead
000	086	000	Fifth Ld
000	086	035	Big Five
000	087	000	Bass&Ld
000	087	016	Big&Low
000	087	064	Fat&Prky
000	087	065	SftWhirl
000	088	000	NewAgePd
000	088	064	Fantasy
000	089	000	Warm Pad
000	089	016	ThickPad
000	089	017	Soft Pad
000	089	018	Sine Pad
000	089	040	Vishnu
000	089	064	Horn Pad
000	089	065	RotarStr
000	090	000	PolySyPd
000	090	064	PolyPd80
000	090	065	ClickPad
000	090	066	Anal.Pad
000	090	067	SquarePd
000	091	000	ChoirPad
000	091	064	Heaven
000	091	066	Itopia
000	091	067	CC Pad
000	092	000	BowGlass
000	092	064	Glacier
000	092	065	GlassPad
000	093	000	MetalPad
000	093	064	Tine Pad
000	093	065	Pan Pad
000	094	000	Halo Pad
000	094	040	Tiu
000	094	064	Aries
