CdPt	Bitmap
0020	0000000000
0021	0000e80000
0022	00c000c000
0023	50f850f850
0024	48a8f8a890
0025	c8d0205898
0026	50a8a85028
0027	0040800000
0028	0000708800
0029	0088700000
002a	5020f82050
002b	2020f82020
002c	0008100000
002d	2020202020
002e	0018180000
002f	0810204080
0030	7098a8c870
0031	0048f80800
0032	98a8a8a848
0033	88a8a8a850
0034	305090f810
0035	e8a8a8a890
0036	70a8a8a810
0037	808098a0c0
0038	50a8a8a850
0039	40a8a8a870
003a	0000500000
003b	0008500000
003c	0020508800
003d	5050505050
003e	0088502000
003f	0080a8a040
0040	90a8b88870
0041	78a0a0a078
0042	f8a8a8a850
0043	7088888850
0044	f888888870
0045	f8a8a8a888
0046	f8a0a0a080
0047	7088a8a8b8
0048	f8202020f8
0049	0088f88800
004a	100888f080
004b	f820205088
004c	f808080808
004d	f8403040f8
004e	f8402010f8
004f	7088888870
0050	f8a0a0a040
0051	7088a89068
0052	f8a0a0b048
0053	48a8a8a890
0054	8080f88080
0055	f0080808f0
0056	c0300830c0
0057	f0087008f0
0058	d8202020d8
0059	c0203820c0
005a	8898a8c888
005b	0000f88800
005c	8040201008
005d	0088f80000
005e	2040804020
005f	0808080808
0060	0000804000
0061	78a0a0a078
0062	f8a8a8a850
0063	7088888850
0064	f888888870
0065	f8a8a8a888
0066	f8a0a0a080
0067	7088a8a8b8
0068	f8202020f8
0069	0088f88800
006a	100888f080
006b	f820205088
006c	f808080808
006d	f8403040f8
006e	f8402010f8
006f	7088888870
0070	f8a0a0a040
0071	7088a89068
0072	f8a0a0b048
0073	48a8a8a890
0074	8080f88080
0075	f0080808f0
0076	c0300830c0
0077	f0087008f0
0078	d8202020d8
0079	c0203820c0
007a	8898a8c888
007b	0020d88800
007c	0000f80000
007d	0088d82000
007e	2020a87020
007f	2070a82020
