CP	Bitmap
30	f888f80000
31	0000f80000
32	b8a8e80000
33	a8a8f80000
34	e020f80000
35	e8a8b80000
36	f8a8b80000
37	8080f80000
38	f8a8f80000
39	e8a8f80000
