CP	Bitmap
24	c4a490a4c4
25	c4e4f0e4c4
26	0e0e0efe00
2d	1010101010
30	fefe82fefe
31	000000fefe
32	9e9e92f2f2
33	929292fefe
34	f0f010fefe
35	f2f2929e9e
36	fefe929e9e
37	808080fefe
38	fefe92fefe
39	f2f292fefe
3d	0028282828
