CP	Bitmap
30	0000f80000
31	b8a8a8a8e8
32	a8a8a8a8f8
33	e0202020f8
34	e8a8a8a8b8
35	f8a8a8a8b8
36	80808080f8
37	f8a8a8a8f8
38	e8a8a8a8f8
39	f800f888f8
3a	f8000000f8
3b	f800b8a8e8
3c	f800a8a8f8
3d	f800e020f8
3e	f800e8a8b8
3f	f800f8a8b8
40	f8008080f8
41	f800f8a8f8
42	f800e8a8f8
