CdPt	Bitmap
9580	fee000e2fe
95a2	aa6c386caa
95d7	aa6c386caa
95dc	aa6c386caa
95e8	be008082fe
95ee	be008c82fe
9633	fed8fe92fe
9634	fedafcaafe
964d	fed854ee54
9670	fed856ba56
967d	fed804eaee
9686	fed85aee5a
96b9	40fe5afe5a
96c4	4ef24efe4a
96e3	6e506efe4a
96e8	beb4feb4be
96ea	eacaeacee4
97cb	646cfe6c24
97e6	5454fe5456
9801	baa4e8a4ba
9808	52acbee4be
9875	baa4e8a4ba
987b	52acbee4be
98a8	feacb4ccfe
98ce	feacb4ccfe
98db	8080fc122a
98de	8080fc122a
99ac	f490f4929e
99b1	faee22fc22
99c4	faee22fc22
9a6c	b4d494b2de
9a6e	faee22fc22
9b54	7e52ec6e52
9bc9	5afa5afef2
9ca4	5afa5afef2
9ce5	7cd86c5a7e
9ede	1ef456541e
9ee8	e254d856e2
9f8d	46f844de4a
9f99	46f844de4a
f91f	2aea2aea2a
f92d	5a4cfe4c5a
f92f	ea4cd84aee
f980	eeaabaaaee
f9a8	5094b49a50
f9c4	46f844de4a
f9ca	ae005eec5a
f9dc	fed85aee5a
faa8	425ef25e42
ff61	00040a0400
ff62	f880800000
ff63	000002023e
ff64	0004020000
ff65	0000100000
ff66	90929294f8
ff67	12121c1418
ff68	04040e0810
ff69	181232121c
ff6a	12121e1212
ff6b	12141a3e10
ff6c	103c12141c
ff6d	0212121e02
ff6e	2a2a2a2a3e
ff6f	18021a021c
ff70	1010101010
ff71	8284b890e0
ff72	08103e4080
ff73	7842c24478
ff74	42427e4242
ff75	484852fe40
ff76	424cf0427e
ff77	4848fe4848
ff78	30c2424c70
ff79	30c2427c40
ff7a	424242427e
ff7b	40f244f840
ff7c	a252040830
ff7d	828cb0cc82
ff7e	20fc424272
ff7f	c0320408f0
ff80	30e2524c70
ff81	52527c9090
ff82	f002f408f0
ff83	a2a2bca0a0
ff84	00fe201008
ff85	2222fc2020
ff86	0444444404
ff87	4264585864
ff88	4848de5068
ff89	02020408f0
ff8a	0ef000f00e
ff8b	fc22222222
ff8c	80828284f8
ff8d	106080700e
ff8e	2c22fe202c
ff8f	40484c5260
ff90	a4a4a45252
ff91	0e34c41806
ff92	02241818e4
ff93	9090fc9292
ff94	10e0384670
ff95	4242427e02
ff96	92929292fe
ff97	a2a2a2a4b8
ff98	fa020204f8
ff99	02fc00fe04
ff9a	fe02040810
ff9b	fe828282fe
ff9c	f8828284f8
ff9d	4222040830
ff9e	c000c00000
ff9f	40a0400000
ffa1	202020203e
ffa2	20203e203e
ffa3	203e063806
ffa4	3e02020202
ffa5	3e02263826
ffa6	3e02143a14
ffa7	3e22222222
ffa8	3e223e2222
ffa9	2e2a2a2a3a
ffaa	2e2a3a203e
ffab	2e2a3e223e
ffac	2e2a3e0a3e
ffad	2e3a063806
ffae	2e2a3e2a2a
ffaf	2e3a223e22
ffb0	2e3a143a14
ffb1	3e2222223e
ffb2	3e1212123e
ffb3	3e123e123e
ffb4	3e123e3806
ffb5	0204380402
ffb6	0638063806
ffb7	1c2222221c
ffb8	2224382422
ffb9	2638263826
ffba	1214381412
ffbb	282828283e
ffbc	3e2a2a2a2a
ffbd	223e223e22
ffbe	141a3a1a14
ffbf	0000000000
ffc0	0000000000
ffc1	0000000000
ffc2	0000fe1000
ffc3	00fe10fe00
ffc4	0000fe2800
ffc5	00fe28fe00
ffc6	0010fe0000
ffc7	0010fe00fe
ffc8	0000000000
ffc9	0000000000
ffca	0028fe0000
ffcb	0028fe00fe
ffcc	0808380808
ffcd	083808fe10
ffce	083808fefe
ffcf	083808fe00
ffd0	0000000000
ffd1	0000000000
ffd2	0838083808
ffd3	10101c1010
ffd4	101e1004fe
ffd5	101e14fefe
ffd6	101e10fe00
ffd7	101c101c10
ffd8	0000000000
ffd9	0000000000
ffda	1010101010
ffdb	04040404fe
ffdc	0000fe0000
