CdPt	Bitmap
03c2	1824242412
03c3	1c22223c20
03c4	00203c2200
03c5	3c02022418
03c6	08143e1408
03c7	22241c1222
03c8	18043e0418
03c9	1c220c221c
03ca	00803c8200
03cb	3c8202a418
03cc	0c1252920c
03cd	1c0242920c
03ce	0c1244920c
0401	3eaa2aaa22
0404	7c92928244
0406	0082fe8200
0407	00a23ea200
0410	7e9090907e
0411	fe9292928c
0412	fe9292926c
0413	fe80808080
0414	067c84fc06
0415	fe92929282
0416	ee10fe10ee
0417	828292926c
0418	fe043840fe
0419	3e8448903e
041a	fe10284482
041b	02fc8080fe
041c	fe403040fe
041d	fe101010fe
041e	7c8282827c
041f	fe808080fe
0420	fe90909060
0421	7c82828244
0422	8080fe8080
0423	e0121212fc
0424	3844fe4438
0425	c6281028c6
0426	fc0404fc06
0427	e0101010fe
0428	fe02fe02fe
0429	fc04fc04fe
042a	80fe12120c
042b	fe120c00fe
042c	fe1212120c
042d	448292927c
042e	fe107c827c
042f	62949890fe
0430	042a2a2a1e
0431	7c92a2a29c
0432	3e2a2a2a14
0433	003e202020
0434	061c243c06
0435	1c2a2a2a18
0436	36083e0836
0437	22222a2a14
0438	3e0408103e
0439	0e4224480e
043a	3e08142200
043b	023c20203e
043c	3e1008103e
043d	3e0808083e
043e	1c2222221c
043f	3e2020203e
0440	3e28282810
0441	1c22222214
0442	20203e2020
0443	300a0a0a3c
0444	08143e1408
0445	2214081422
0446	3c04043c06
0447	300808083e
0448	3e023e023e
0449	3c043c043e
044a	203e0a0a04
044b	3e0a04003e
044c	3e0a0a0a04
044d	14222a2a1c
044e	3e081c221c
044f	122a2c283e
0451	1caa2aaa18
0454	1c2a2a2214
0456	0022be0200
0457	00a23e8200
0462	40fe52520c
0463	20fe2a2a04
0472	7c9292927c
0473	3c5252523c
0474	f00c027c80
0475	3804021c20
0490	7e404040c0
0491	3e202020e0
05d0	2618080c32
05d1	2222221e02
05d2	2224180600
05d3	2020203e20
05d4	2e2020201e
05d5	00003e0000
05d6	00203e2000
05d7	3e2020201e
05d8	3c0222221c
05d9	0000300000
05da	2020201c02
05db	222222221c
05dc	e020222438
05dd	3e2222221e
05de	2e1020221e
05df	00203c0200
05e0	0022221e00
05e1	1c2222221c
05e2	320a0a0438
05e3	382820201e
05e4	3a2a2a221c
05e5	2018060830
05e6	22120a0a36
05e7	2e20242830
05e8	202020201e
05e9	3c0a32023c
05ea	223e20201e
2160	0082fe8200
2161	82fe82fe82
2162	82fe82fe82
2163	fe00fc02fc
2164	f00c020cf0
2165	fc02fc00fe
2648	60807e8060
2649	dc222222dc
264a	82fe82fe82
264b	6492ee924c
264c	6890848a72
264d	f840fa847e
264e	6a9a829a6a
264f	f840f8807e
2650	0204b8c0e0
2651	f840fa1408
2652	2448244824
2653	927c107c92
2f00	1010101010
2f01	0000fe0000
2f02	0020100800
2f03	02020408f0
2f04	848a92a2c6
2f05	0002fe0000
2f06	0444444404
2f07	1010301010
2f08	020cf00c02
2f09	02fc00fe02
2f0a	028cf00c02
2f0b	0ef000f00e
2f0c	fe808082fe
2f0d	3020202030
2f0e	0042442800
2f0f	02fc80fe02
2f10	fe020202fe
2f11	828cf082fe
2f12	424cf0427e
2f13	20c040427e
2f14	fc22222226
2f15	fe82828282
2f16	80fc828282
2f17	1010fe1010
2f18	00fe201008
2f19	fe809088f0
2f1a	06f8808080
2f1b	0e34c41806
2f1c	a2948894e2
2f1d	7c4444447c
2f1e	fe828282fe
2f1f	0222fe2202
2f20	2022fe2220
2f21	22d4485462
2f23	30e2524c70
2f24	222cf02c22
2f25	42f4487442
2f26	9092bed090
2f27	3020602030
2f28	504842fe40
2f29	3802fe0038
2f2a	424cf04e42
2f2b	02fca0a0e0
2f2d	3e02fe023e
2f2f	8282fe8282
2f30	9c929292f6
2f31	7c40fe407c
2f32	9090fe9090
2f33	365a921206
2f34	027c40c040
2f36	12fc10fe10
2f37	40f048c442
2f38	b8aaaaaaee
2f39	92929292fe
2f3b	28285e90a0
2f3c	70fc720270
2f3d	42f448d442
2f3f	a8aafea8a8
2f40	425af45a42
2f42	4274c87442
2f45	427cd0525e
2f46	929cf09e92
2f47	fe929292fe
2f49	02fca8aafe
2f4a	4478fe7844
2f4b	22c4784462
2f4c	1e02fe1212
2f4d	90f2aaa4b8
2f4f	fafcaafe28
2f51	68687caaaa
2f52	7e52789492
2f53	d454545456
2f54	243afe1824
2f55	7204f80472
2f5c	e848fe4848
2f5d	222cf02ca2
2f5f	9292fe9296
2f62	40fe4afe40
2f63	ea4afe4a4a
2f65	fe92fe92fe
2f69	3e6aaa2a3e
2f6c	feaaaaaafe
2f6d	94dabed098
2f75	20fe40fe40
2f7a	54d47ed454
2f7b	a4aafcaafc
2f82	feaaeeaaba
2f83	7e5ada5a7e
2f84	82b6deb682
2f92	facca89efa
2f95	50ae0aae50
2f99	facca89cfa
2f9c	eea2beaaea
2f9d	0478ca7e10
2f9e	54f45e5454
2f9f	5474de7454
2fa0	fedcdad49a
2fa3	bef2a6f2be
2fa6	2a6ebe6e2a
2fa7	feb2e8a4aa
2fa8	fee000e2fe
2fab	40fe5afe5a
2fac	beb4feb4be
2fb1	646cfe6c24
2fb4	baa4e8a4ba
2fb5	feacb4ccfe
2fb6	8080fc122a
2fba	f490f4929e
2fc3	7cd86c5a7e
2fd3	46f844de4a
3001	0008040200
3002	040a040000
3005	20c8445a60
3007	3844444438
300c	0000f88080
300d	02023e0000
3021	0000fe0000
3022	007c00fe00
3023	7c003800fe
3024	c6281028c6
3025	6c9292126c
3026	1010701010
3027	1014741410
3028	222aea2a22
3029	22d4485462
3041	143a141a14
3042	4cfe545a4c
3043	1c0202100c
3044	fc0202c038
3045	082a2a2a04
3046	20a2a2a21c
3047	0a2a2c2a2a
3048	22a4a8b622
3049	143e182a14
304a	4cfe50124c
304b	42fc423e70
304c	227ca23eb8
304d	5452fa5252
304f	1028448200
3050	0814942280
3051	fe0022fc20
3052	7e00a27ca0
3053	0c82828282
3054	2422a22292
3055	44c262524a
3056	2462b22aa2
3057	fc0202020c
3058	fc02c202cc
3059	405a5afc40
305a	405afcc0c0
305b	40fc42fa40
305c	207ca27aa0
305d	949ab2d292
305e	5054da72d2
305f	5ee054524a
3060	2e70aa2aaa
3061	40fa52524c
3062	207aaa2aa4
3063	101212120c
3064	202222221c
3065	2022a2229c
3066	809ca2c282
3067	202cb222a2
3068	1c22e22222
3069	1ce222a2a2
306a	44f8461e44
306b	fe00848242
306c	3cc678c63e
306d	48fe20463e
306e	7884f8827c
306f	fe004efe48
3070	7e00ae7ea8
3072	bcc202fc80
3073	5c62823ca0
3074	5c6242bc60
3075	bc82bc80bc
3076	2c22ac20ac
3077	2c226ca06c
3078	106080700e
3079	3040b00c82
307a	304070ac42
307b	fe00a6fea4
307c	7e00d67ed4
307e	5656fe5454
307f	98a4f812fc
3080	58fc42024c
3081	3cc678c23c
3082	50fc525254
3083	103e103418
3084	20f826c070
3085	1c083e141c
3086	7c1078c638
3087	04021e080a
3088	0c12fc504c
3089	ba8a92524c
308a	f20a0204f8
308b	96a6a2d28c
308c	48fe207e04
308d	90a2a2d28c
308e	143e10120c
308f	48fe20423c
3090	9cbee42a1c
3091	baacbaecb2
3093	0618ec020c
3094	082aaa2a84
3095	123c121e18
3096	3e00123c10
3099	c000c00000
309a	40a0400000
309b	c000c00000
309c	40a0400000
309d	0020121408
309e	0020921488
309f	fe4852524c
30a1	12121c1418
30a2	8284b890e0
30a3	04040e0810
30a4	08103ec000
30a5	1812321418
30a6	7042c24478
30a7	12121e1212
30a8	42427e4242
30a9	12141a3e10
30aa	484852fe40
30ab	424cf0427e
30ac	222478a2be
30ad	4848fe4848
30ae	287ea80080
30af	30c0424c70
30b0	1062a224b8
30b1	30c2427c40
30b2	1062a23ca0
30b3	424242427e
30b4	2222a222be
30b5	40f244f840
30b6	103a923c90
30b7	a252040830
30b8	52528408b0
30b9	828cb0cc82
30ba	4244c854e2
30bb	20fc424272
30bc	107ca222b2
30bd	c0320408f0
30be	300a8204b8
30bf	30e2524c70
30c0	0872aa24b8
30c1	52527c9090
30c2	1a1abc28a8
30c3	18021a021c
30c4	f002f204f8
30c5	3002b204b8
30c6	20a2bca020
30c7	2a2aac28a8
30c8	00fe201008
30c9	fe20900880
30ca	2222fc2020
30cb	0444444404
30cc	4264585864
30cd	4848de5068
30ce	02020408f0
30cf	0ef000f00e
30d0	0638803886
30d2	fc22222222
30d3	fc22a222a2
30d4	fc1252b252
30d5	80828498e0
30d6	2022a224b8
30d7	101252b458
30d8	106080700e
30d9	3040b00c82
30da	304070ac42
30db	2c22fe202c
30dc	1412be1094
30dd	14127eb054
30de	8088849ae0
30df	a4a4a45252
30e0	0e34c41806
30e1	02241818e4
30e2	1090fc9212
30e3	103e101418
30e4	10e0384670
30e5	0212121e02
30e6	4242427e02
30e7	2a2a2a2a3e
30e8	92929292fe
30e9	20a2a2a438
30ea	fa020204f8
30eb	02fc00fe08
30ec	fe02040810
30ed	fe828282fe
30ee	382222223c
30ef	f0828284f8
30f0	083828fe28
30f1	44445c6444
30f2	a0a2a4b8e0
30f3	4222040830
30f4	1812b21498
30f5	121438121e
30f6	0832121c10
30fb	0000100000
30fc	1010101010
30fd	0020100800
30fe	0020900880
30ff	80808080fe
3105	40c042427c
3106	42e4585864
3107	fe808080fe
3108	fe82828282
3109	42cc72427c
310a	262af22c26
310b	8090b2d21c
310c	42cc72c27c
310d	1028d628c6
310e	80b0d2929c
310f	06f8808080
3110	fc040810fe
3111	1028448200
3112	8080fe8080
3113	fa0afe0afa
3114	28285e90a0
3115	02bca0a0e0
3116	fe82ba82fe
3117	80fe8088f8
3118	5070d25458
3119	0e34c41806
311a	80403e4080
311b	4c52724244
311c	4c52f24244
311d	40fc42fa40
311e	b2d4b8d29c
311f	106080700e
3120	365a921206
3121	4264585864
3122	b0d090b2dc
3123	709010121c
3124	424cf04e42
3125	061ae20202
3126	02fc00fe02
3127	1010101010
3128	02241818e4
3129	fe020202fe
312a	82fc90929e
312b	82fc80fe82
312c	067840c040
312d	bca0fea0bc
312e	242aba2224
312f	809eb0d21e
3131	202020203e
3132	20203e203e
3133	203e063806
3134	3e02020202
3135	3e02263826
3136	3e02143a14
3137	3e22222222
3138	3e223e2222
3139	2e2a2a2a3a
313a	2e2a3a203e
313b	2e2a3e223e
313c	2e2a3e0a3e
313d	2e3a063806
313e	2e2a3e2a2a
313f	2e3a223e22
3140	2e3a143a14
3141	3e2222223e
3142	3e1212123e
3143	3e123e123e
3144	3e123e3806
3145	0204380402
3146	0638063806
3147	1c2222221c
