ID	Name
TibetBel	TibetBells
Dbl Stop	DoubleStop
WarmTrom	Warm Tromb
HolwBody	HollowBody
HdBamboo	HardBamboo
TechBass	Tech Bass
Cmposure	Composure
BrsSynth	BrassSynth
EchoTbla	Echo Tabla
MalletEP	Mallet EP
Elec.Arc	ElectricAc
HyprWave	Hyper:Wave
Arpggiat	Arpeggiate
VuduSong	VoodooSong
Sqr.Bass	SquareBass
DreamBel	DreamBells
Undrscor	Underscore
CyberHit	Cyber Hit
Chro.Rez	Chrome Rez
JakSlide	Jack Slide
GhostStb	Ghost Stab
MarkTree	Mark Trees
7th Wave	The7thWave
Mega Syn	Mega Synth
OldKlmba	OldKalimba
