ID	Name
Jazz Gtr	Jazz Guitar
Digi.Pno	Digital Piano
ClassGtr	Classic Guitar
Acou.Gtr	Acoustic Guitar
Dst.Gtr.	Distorted Guitar
RockHrmo	Rock Harmonics
SlpBass1	Slap Bass 1
SlpBass2	Slap Bass 2
Marcato	Marcato Strings
Bari Sax	Baritone Saxophone
SquareWv	Square Wave
Saw Wave	Sawtooth Wave
SyCaliop	Synth Calliope
SynChiff	Synth Chiffer
SyCharan	Synth Charang
Rezzo4th	Rezzo 4ths Wave
BowGlass	Bowed Glass Pad
SndTrack	Sound Track
Acou.Tom	Acoustic Tom
Perc Kit	Percussion Kit
SpruceGt	Spruce Guitar
CrFadeBa	Crossfade Bass
Pwr Rock	Power Rock Guitar
ElectrGt	Electric Guitars
Digi.Air	Digital Air
MndoTrem	Mandolin Tremolo
ChambrEn	Chamber Ensemble
Cln Funk	Clean Funk Guitar
OrchPerc	Orchestra Percussion
HrpsiFnk	Harpsichord Funks
SantaClv	Santa Clavichord
Sforz<Br	Sforzando< Brass
Ambi.Vox	Ambient Voice
BassHrmo	Bass/Harmonics
SymphoBr	Symphonic Brass
Horn Ens	Horn Ensemble
MutedEns	Muted Ensemble
FeedbkGt	Feedback Guitar
GlockBel	Glockenspiel Bells
FatRezBa	Fat Resonant Bass
BreathVx	Breathy Voice
Killer B	Killer BX-9 Organ
BrtSteel	Bright Steel Guitar
Anal.Str	Analog String
EuroPipe	European Pipe
SuprPerc	Super Percussion
Chrunchr	Chruncher Guitar
RezWaves	Resonant Waves
VeloPick	Velo Picked Bass
CelloEns	Cello Ensemble
ChromeBa	Chromium Bass
RShkhchi	Real Shakuhachi
TrumpEns	Trumpet Ensemble
VelFlugl	Velo Flugel Horn
EthncVln	Ethnic Violin
SoprnoVx	Soprano Voice
Pno&Str	Piano & Strings
TibetBel	Tibetan Bells
WarmTrom	Warm Trombone
Chro.Rez	Chrome Resonance
7th Wave	The 7th Wave
OldKlmba	Old Kalimba
